front_signer,epoch,n,victims,usd
BxBjWsJEzkKQvYJXzogMUYurgHqLeAiQhk4EyhWbBDgj,959,1,2,-0.006205380723675047
BzGcmBAK2jTLgXkLTRdJiKZKwJZCV9MxojoaGZv2vpfU,957,1,1,-0.06671639239843152
C1RR5NjJQp8tuCizZthw1UxzAWyh13cqjcdBAceULfQf,947,1,2,0.024377062029441454
C2yZ3vcC57RZdfEs6wWDiWJ9yhNjgozZCXRa5wEW95ei,958,1,2,-0.0032431773313357226
C4fBewJUuuhgvPQ4qWMbR8kXGyc8TG9RHmPnLYhfUM2c,946,1,1,-0.016997397051053964
C5iBM9cnmtsZa8D6HhXRJQY4vJXZ63DokCuc8c76kDCF,957,1,2,-0.09562101175236482
C6Sk6iGmytnRhmn8uEHqa8RmcQrFhZ4fkdHDF72gwNAg,957,1,2,-0.06391425898901071
C82uMncjJmJbLAjLv6mZNLdFYc3JSHF8zHkqaeQ6Sv8Y,952,1,2,0.010108920400420107
C89bD2mDwJcFQv93AbLiyB5f3zKXBVjd6DkXDgg4kkwx,957,1,1,-0.19587168904425134
CC7UeDCbN6nuADjeu2UvbmkTzS7qBgp8ycW625uaqyPi,954,1,2,-0.2744756759963707
CCsdTd6N77NohAiutanVeewCCuX1mBPKx7S7pthRP4aq,957,1,2,-0.27280763141505737
CXS4dHmxS74rH3HwmKx9fo4Kp9nQbQncCC1G8sRYaJzD,960,1,1,-0.017660446763555493
CFYHqy2gnVU5oLvxnmX9D6nUivQjL8XLBcsxs2TmcLiA,951,1,1,-0.423648809820385
CFmua8unVtNQdJpEPCr6YujGeTSDuR14FW7EtVdg5S3P,959,1,1,-0.008759932482602373
CHx3hZ6HrMk1AEgXyQ68ZNTe1senrHGsYLqzsYnWY59h,959,1,2,-0.006882906348991413
CK9TVbDCF9Wfics6qyt8VUEGCJYCCNDGuCCSeDuRpgSU,958,1,1,-0.049035636664003235
CKCZLoUTRSEVjwQZPeM7uXorDubLQsuM6NVeMP4KmpRv,956,1,1,-1.412064182029944
CMPYWDjijrYqJEUVcpBCEbXpCj8j1Asny5yYn9njfVW7,960,1,2,-0.0017539867595702668
CMe8epaQM1wjAJWdT8wVa8u8Y53ZgX2gqAEGYKs9Xeh,958,1,1,-0.03214338433235375
CNYkSQQjsJFnHtzmpWUigQdrWnJeS5QpYN8PyshWwZvf,959,1,1,-0.07665063303684105
CQ3KbeBtRrnPtzFAnyP8AiuYt6ozojyPCBpxt5vdDuuP,958,1,2,-0.06922506817685914
CTdrU2U1tZq1ViqHnz23qVtvc3jAs1v3xoinZ7gJh1qX,958,1,2,-0.1073137828327031
CUum6bVt1eN7887PCZPU69EUxJsLwT2dQxBhAtZjuEeE,946,1,2,-0.0008803296945372741
CWbC5cXXH3dDTU7gwHArZVEUyCPQCrCNJvW6YDLmWpse,958,1,1,-0.016993733820422352
CDQKBNqEgwrdNVvQeCX5BPDNmzxNms2FbveqeSEizKMd,946,1,2,-0.1370657245443807
HLSRaRCfqPEh9meTZvNZrx2KZF5rFZGmdkggW7TAPmm1,955,1,2,-0.024169962272461154
HNdXAZHQqP63GzZNJWqjDMfFV4xohHpMZyUvG5Hq1rGj,958,1,1,-0.13774566762254192
HPBYfYaE7MfPXdoQwDsTcjee1w9S8zRwM5jQ2uU9Ys7p,947,1,1,-0.008230640631979314
HPEXuRGgYT159bfj55s3MXNE7JeizijGnedwsLN5kkZj,956,1,1,-0.4533737640521984
HPLSjbY993fuv7bDScUJP8oH8Fr5njFnVerW5VHrfa8e,960,1,2,-0.010039582381848877
HUCv95d5qVbDd6x1PqZFGJ8ruQmek8gEsMBUwE1T8WAP,953,1,2,-0.7873936258676295
HVvLaj5XyxRSZGA1Wi2ExMpKAfg7wcM2mo9uULvHCiwu,950,1,1,-0.2656128416789105
HYcDsoyCBAabp23sVVg3xmB72sppEdBoggo8dKTknCiJ,950,1,1,10.676206079999666
HZiFp1LESoXg63Q69c8WevVvRNRAFJdmZEhRe2ihjC5f,958,1,2,-0.15779098799955094
HaErmi8gYtjTz1U1VLEEgpFccBLWWKpPWrci6u83ihwy,957,1,1,-0.008468440975537561
HeZE3kzE2SFhEdeEVLVTnp2fJsAZBtRuex4A794BW8g8,954,1,2,-0.03945171321808272
FJ3kKQxJoXyiWgZnD1VpS5usj1Ed1FMC9VW3epNf3f6Q,955,1,1,-0.040746318808413395
HfrXZj21nQ4EcdhQwgjn7tuHtJmBYjVpu9K2CAppJpUJ,955,1,1,0.011868799999875113
Hg9iKkW7rhXKgz6apw9nABTjQVoQAYobAmV43QWRRa2S,959,1,1,-0.012500997758128629
